procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 6558196   5244 6129828    0    0     0     5    6   11  0  1 99  0  0
 0  0      0 6558016   5244 6129832    0    0     0     0 1439 2101  1  1 98  0  0
 0  0      0 6557796   5244 6129832    0    0     0     0 1208 1836  1  1 98  0  0
 0  0      0 6557492   5244 6129832    0    0     0     0 1716 2539  1  1 98  0  0
 0  0      0 6557292   5244 6129832    0    0     0     0 1274 2007  1  1 98  0  0
 0  0      0 6555356   5244 6129868    0    0     0     0 8801 10160  3  8 89  0  0
 0  0      0 6553216   5244 6130052    0    0     0     0 29870 30021 12 31 57  0  0
10  0      0 6550720   5244 6130256    0    0     0     0 26400 23433 14 41 45  0  0
12  0      0 6547104   5244 6130592    0    0     0     0 23734 16335 17 50 33  0  0
12  0      0 6545436   5244 6131004    0    0     0     0 20060 12906 21 61 18  0  0
11  0      0 6542676   5244 6131496    0    0     0     0 21164 15092 21 55 24  0  0
15  0      0 6539568   5244 6132048    0    0     0     0 23929 17491 22 51 27  0  0
 8  0      0 6541776   5244 6132580    0    0     0     0 22237 16214 21 45 34  0  0
 5  0      0 6539944   5244 6133136    0    0     0     0 22044 17486 19 44 37  0  0
10  0      0 6537704   5244 6133828    0    0     0     8 23852 19838 22 49 28  0  0
 6  0      0 6537144   5244 6134396    0    0     0     0 19643 13565 19 43 38  0  0
 1  0      0 6534580   5244 6135124    0    0     0     0 22160 15585 20 44 36  0  0
 0  0      0 6534172   5244 6135144    0    0     0     0 2301 2825  1  2 97  0  0
 0  0      0 6533324   5244 6135160    0    0     0     0 2639 3251  2  3 95  0  0
 0  0      0 6532652   5244 6135192    0    0     0     0 2365 3017  1  2 96  0  0
 0  0      0 6532052   5244 6135192    0    0     0     0 2300 2860  2  3 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  2      0 6531376   5244 6135208    0    0     0     8 2498 3143  1  2 70 27  0
 1  2      0 6530872   5244 6135240    0    0     0     0 2302 2952  2  2 48 48  0
 0  0      0 6530684   5244 6135244    0    0     0     0 3001 3713  4  4 49 44  0
 7  0      0 6520020   5244 6136200    0    0     0     0 20329 8235 16 43 40  0  0
 8  0      0 6517472   5244 6137144    0    0     0     0 24050 11023 23 59 18  0  0
 0  0      0 6516608   5244 6138220    0    0     0     0 21336 13026 24 55 21  0  0
 0  0      0 6515444   5244 6139080    0    0     0     0 18744 12200 19 42 39  0  0
 6  0      0 6515000   5244 6140036    0    0     0     0 17995 13600 16 35 48  0  0
 6  0      0 6514216   5244 6140844    0    0     0     0 19599 11490 21 48 30  0  0
 3  0      0 6513548   5244 6141712    0    0     0     0 20337 16552 19 39 42  0  0
 4  0      0 6512804   5244 6142812    0    0     0     4 22101 16492 21 50 29  0  0
