procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 6145556   5244 6339152    0    0     0     5   10    6  1  1 99  0  0
 0  0      0 6144992   5244 6339156    0    0     0    12 1288 1908  1  1 98  0  0
 0  0      0 6144936   5244 6339156    0    0     0     0 1329 1977  1  1 98  0  0
 1  0      0 6144544   5244 6339156    0    0     0     0 1870 2694  2  2 97  0  0
 2  0      0 6144148   5244 6339176    0    0     0     0 11051 15079  5 11 84  0  0
 1  0      0 6144852   5244 6339348    0    0     0     0 22898 28739 10 24 66  0  0
 1  1      0 6144320   5244 6339556    0    0     0   420 28662 34275 14 32 54  0  0
 7  0      0 6140336   5244 6340912    0    0     0    25 114373 131390 18 39 20 24  0
 6  0      0 6138568   5244 6341504    0    0     0     0 38483 42404 22 43 35  0  0
 3  0      0 6132444   5244 6342144    0    0     0     0 36586 37947 22 48 30  0  0
 3  0      0 6131536   5244 6342896    0    0     0     0 34960 37651 23 48 29  0  0
 5  0      0 6127888   5244 6343704    0    0     0     0 33475 32715 22 52 25  0  0
 4  0      0 6123484   5244 6344580    0    0     0     0 33958 33572 24 51 25  0  0
 9  0      0 6120112   5244 6345536    0    0     0     0 31088 27263 25 58 17  0  0
14  0      0 6109944   5244 6346540    0    0     0     0 27143 23608 25 58 16  0  0
11  0      0 6106428   5244 6347724    0    0     0     0 25313 19119 27 61 12  0  0
 1  0      0 6103712   5244 6348808    0    0     0     0 18260 14463 21 37 42  0  0
11  0      0 6101916   5244 6349244    0    0     0     0 10752 4831 13 25 62  0  0
 9  0      0 6098532   5244 6350532    0    0     0     0 20205 6787 21 46 33  0  0
 0  0      0 6097036   5244 6351168    0    0     0     0 15080 12436 15 29 56  0  0
 0  0      0 6094328   5244 6352404    0    0     0     0 19977 7310 21 42 37  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 6092080   5244 6353316    0    0     0     0 17792 6508 18 38 44  0  0
13  0      0 6090436   5244 6354564    0    0     0     0 15814 6450 17 37 46  0  0
 0  0      0 6089704   5244 6355488    0    0     0     0 14276 7274 16 34 50  0  0
 1  0      0 6088928   5244 6356020    0    0     0     0 18513 8130 20 41 39  0  0
 8  0      0 6086888   5244 6357380    0    0     0     0 17679 7844 17 36 46  0  0
 1  0      0 6085792   5244 6358256    0    0     0     0 14572 6217 15 33 51  0  0
 0  0      0 6083552   5244 6359336    0    0     0     0 18612 7138 24 49 27  0  0
 9  0      0 6083064   5244 6360348    0    0     0     0 16629 7742 17 35 49  0  0
 6  0      0 6082040   5244 6361556    0    0     0     0 17166 6390 20 42 37  0  0
 0  0      0 6082268   5244 6362168    0    0     0     0 13162 8545 15 28 56  0  0
 0  0      0 6081704   5244 6363360    0    0     0     0 18904 7312 18 42 39  0  0
 7  0      0 6079512   5244 6364296    0    0     0     0 18484 8318 20 40 40  0  0
 0  0      0 6079472   5244 6365700    0    0     0     0 21176 16831 26 47 27  0  0
 4  0      0 6077980   5244 6366804    0    0     0     0 15837 7775 17 35 48  0  0
 6  0      0 6076612   5244 6367776    0    0     0     8 17175 8239 20 40 40  0  0
 9  0      0 6076084   5244 6368624    0    0     0     0 17361 4810 18 36 47  0  0
11  0      0 6074172   5244 6370048    0    0     0    93 12058 4238 16 31 53  0  0
 0  0      0 6075012   5244 6371256    0    0     0     0 21475 6043 22 46 32  0  0
12  0      0 6074996   5244 6371844    0    0     0     0 12759 4844 17 36 47  0  0
 7  1      0 6074504   5244 6373008    0    0     0 33236 15764 6772 19 41 34  6  0
 7  0      0 6071600   5244 6375028    0    0     0     0 24069 8845 18 39 32 11  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
11  0      0 6069620   5244 6376048    0    0     0     0 17747 8368 19 41 40  0  0
 6  0      0 6068488   5244 6376976    0    0     0     0 17337 11603 19 38 43  0  0
 9  0      0 6066680   5244 6378056    0    0     0     0 16264 8757 20 37 43  0  0
 0  0      0 6064616   5244 6379312    0    0     0     0 16919 7458 21 43 36  0  0
12  0      0 6062756   5244 6380540    0    0     0     0 20660 5144 24 56 20  0  0
12  0      0 6059204   5244 6382452    0    0     0     0 22470 4274 30 65  5  0  0
14  0      0 6057272   5244 6384548    0    0     0     0 21734 12932 30 66  4  0  0
 7  0      0 6055716   5244 6386564    0    0     0     0 22533 19204 30 63  7  0  0
11  0      0 6053796   5244 6388308    0    0     0     0 22480 18471 32 62  6  0  0
 7  0      0 6050308   5244 6390120    0    0     0     0 22771 15104 32 63  5  0  0
11  0      0 6050564   5244 6392028    0    0     0     0 22844 22817 32 59  9  0  0
13  0      0 6047664   5244 6393748    0    0     0     0 21195 10535 33 63  4  0  0
 0  0      0 6045364   5244 6394616    0    0     0     0 6989 3374  8 18 74  0  0
 0  0      0 6044592   5244 6394796    0    0     0     0 2578 2485  3  5 93  0  0
 1  0      0 6044180   5244 6394980    0    0     0     0 4086 2876  4  7 89  0  0
 1  0      0 6043892   5244 6395248    0    0     0     0 7001 3243  6 15 80  0  0
 9  0      0 6044848   5244 6396284    0    0     0     0 22587 7053 22 52 26  0  0
 5  0      0 6043352   5244 6397776    0    0     0     0 32557 11990 32 63  6  0  0
11  0      0 6042192   5244 6399760    0    0     0     0 22311 13890 32 64  5  0  0
 4  0      0 6038724   5244 6401592    0    0     0     0 20449 6821 33 64  3  0  0
 9  0      0 6037292   5244 6403520    0    0     0     0 20902 11268 33 61  6  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0      0 6034708   5244 6405296    0    0     0     0 22077 17049 32 59  9  0  0
11  0      0 6032216   5244 6407364    0    0     0     0 21750 11781 32 64  4  0  0
11  2      0 6030924   5244 6409152    0    0     0     8 21282 9849 32 62  6  0  0
10  0      0 6027800   5244 6410992    0    0     0     3 22823 17960 33 63  4  1  0
 7  0      0 6029176   5244 6412816    0    0     0     0 22271 14787 31 62  8  0  0
11  0      0 6030020   5244 6414424    0    0     0     0 20199 13636 32 60  8  0  0
 8  0      0 6025932   5244 6416444    0    0     0     0 23011 25505 33 61  6  0  0
 0  0      0 6027280   5244 6417280    0    0     0     0 8673 7249 10 18 71  0  0
 1  0      0 6026640   5244 6417516    0    0     0     0 4890 3229  4  9 88  0  0
 0  0      0 6026172   5244 6417708    0    0     0     0 3307 2820  2  4 94  0  0
 0  0      0 6025728   5244 6417736    0    0     0     0 1829 2433  1  2 97  0  0
 0  0      0 6025184   5244 6418288    0    0     0     0 12306 4134 10 23 67  0  0
 0  1      0 6023380   5244 6419304    0    0     0  8200 15749 5557 14 32 54  1  0
 8  0      0 6022596   5244 6420300    0    0     0 38224 26438 10117 26 58 13  3  0
12  0      0 6020972   5244 6422016    0    0     0     0 25993 19984 29 58 13  0  0
 5  0      0 6018236   5244 6423648    0    0     0     0 23025 16839 30 59 11  0  0
11  0      0 6015816   5244 6425512    0    0     0     0 20480 15625 32 59  9  0  0
 0  0      0 6012956   5244 6426168    0    0     0     0 9574 11101  9 18 72  0  0
 0  0      0 6013820   5244 6426172    0    0     0     0 1729 2389  1  1 98  0  0
11  0      0 6014044   5244 6426364    0    0     0     0 4233 2461  3  8 89  0  0
 7  0      0 6012824   5244 6427300    0    0     0     0 21448 5850 20 46 33  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0      0 6011704   5244 6428708    0    0     0     0 30806 9859 31 63  6  0  0
 8  0      0 6009592   5244 6430680    0    0     0     0 22986 10695 31 58 12  0  0
 8  0      0 6006140   5244 6432220    0    0     0     0 19871 8417 35 60  6  0  0
11  0      0 6004664   5244 6434408    0    0     0     0 18976 7654 34 61  5  0  0
 0  0      0 6004688   5244 6434900    0    0     0     0 7450 8387  7 15 79  0  0
 0  0      0 6003944   5244 6435188    0    0     0     0 4336 3577  4  8 88  0  0
 0  0      0 6002852   5244 6435364    0    0     0     0 4993 2863  5 10 85  0  0
11  0      0 6001964   5244 6436432    0    0     0     0 18224 4414 19 49 31  0  0
13  0      0 5999504   5244 6437376    0    0     0     0 23151 9069 27 63 10  0  0
 0  0      0 5997516   5244 6438744    0    0     0     0 26275 24377 18 36 45  0  0
 0  0      0 5997280   5244 6438896    0    0     0     0 5608 4775  4  9 87  0  0
10  0      0 5997844   5244 6439268    0    0     0     0 3981 2802  4  7 90  0  0
11  0      0 5997936   5244 6440116    0    0     0    44 31908 8657 25 61 14  0  0
 8  0      0 5997080   5244 6441888    0    0     0     0 24303 9881 25 53 22  0  0
13  0      0 5994724   5244 6443664    0    0     0     0 26883 27816 31 59 10  0  0
 9  0      0 5993500   5244 6445360    0    0     0     0 22121 16715 33 62  6  0  0
 0  0      0 5994428   5244 6445916    0    0     0     0 5304 5617  7 12 80  0  0
 0  1      0 5992892   5244 6446352    0    0     0  4108 6909 4079  7 15 77  0  0
 9  0      0 5992124   5244 6446948    0    0     0  4104 16614 6477 15 34 49  2  0
 0  0      0 5991012   5244 6448324    0    0     0     0 24735 10967 21 46 34  0  0
 9  0      0 5988712   5244 6449640    0    0     0     0 23291 6084 31 60  9  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
10  0      0 5983440   5244 6451400    0    0     0     0 22019 7748 31 62  7  0  0
 8  0      0 5982188   5244 6453400    0    0     0     0 20893 5474 32 64  4  0  0
13  0      0 5981372   5244 6455208    0    0     0 26628 20179 8231 33 60  6  1  0
 6  0      0 5980060   5244 6457392    0    0     0     0 22340 23274 33 60  7  0  0
11  0      0 5977820   5244 6459148    0    0     0     0 21693 17552 34 60  7  0  0
 6  0      0 5976388   5244 6460748    0    0     0     0 22882 25411 33 60  7  0  0
11  0      0 5974976   5244 6462584    0    0     0     0 24294 24060 33 60  8  0  0
