procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 6306272   5244 6488020    0    0     0     5    5   11  1  1 98  0  0
 0  0      0 6306584   5244 6488024    0    0     0     0 1543 2219  2  1 97  0  0
 1  0      0 6308240   5244 6488024    0    0     0     0 1859 2649  1  2 97  0  0
11  0      0 6298988   5244 6489884    0    0     0     0 41896 26375 26 63 11  0  0
 9  0      0 6287132   5244 6492876    0    0     0     0 37528 17086 27 66  7  0  0
12  0      0 6285436   5244 6496860    0    0     0     0 24203 31885 31 63  6  0  0
13  0      0 6280636   5244 6500868    0    0     0     0 22701 31353 32 63  5  0  0
 9  0      0 6271616   5244 6506072    0    0     0     0 24237 32198 34 61  5  0  0
13  0      0 6265548   5244 6510628    0    0     0     0 26453 31293 33 60  8  0  0
11  0      0 6257836   5244 6515084    0    0     0     0 23447 25714 33 62  5  0  0
13  0      0 6249220   5244 6518568    0    0     0     0 19850 20729 35 60  5  0  0
12  0      0 6245476   5244 6522948    0    0     0     0 26837 32611 34 62  4  0  0
12  0      0 6239280   5244 6527808    0    0     0     0 24428 20715 34 61  5  0  0
11  0      0 6228600   5244 6532580    0    0     0     0 21122 17764 35 61  4  0  0
10  0      0 6225272   5244 6536980    0    0     0     0 22490 27278 37 59  4  0  0
14  0      0 6219796   5244 6541472    0    0     0     0 25739 26792 36 59  4  0  0
 3  0      0 6210456   5244 6546728    0    0     0     0 22868 18712 35 60  5  0  0
10  0      0 6205156   5244 6550976    0    0     0     0 22909 29110 35 62  3  0  0
 3  0      0 6201800   5244 6555372    0    0     0     0 25572 45992 37 61  2  0  0
10  0      0 6189892   5244 6559780    0    0     0     0 22936 18972 36 60  4  0  0
12  0      0 6183068   5244 6563920    0    0     0     0 22999 13327 34 61  5  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
14  0      0 6176512   5244 6568636    0    0     0     0 20118 14253 36 61  3  0  0
10  0      0 6169632   5244 6573464    0    0     0     8 21750 17612 36 62  3  0  0
11  0      0 6158716   5244 6577644    0    0     0     0 23436 16910 35 60  5  0  0
12  0      0 6156892   5244 6582312    0    0     0     0 23718 26301 35 61  4  0  0
11  0      0 6152752   5244 6586432    0    0     0     4 25671 37768 36 60  4  0  0
