procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 6469352   5244 6218868    0    0     0     5    7    5  1  1 99  0  0
 1  0      0 6469584   5244 6218872    0    0     0     0 1365 1991  1  1 98  0  0
 1  0      0 6458024   5244 6218872    0    0     0     0 1738 2588  2  1 97  0  0
 0  0      0 6471904   5244 6218872    0    0     0     0 1605 2362  1  2 97  0  0
 0  0      0 6472128   5244 6218872    0    0     0     0 1572 2399  1  1 98  0  0
 2  0      0 6472000   5244 6218872    0    0     0     0 5399 3536  7  8 85  0  0
 2  0      0 6471580   5244 6218856    0    0     0     0 11754 5536 15 20 65  0  0
 5  0      0 6484528   5244 6218824    0    0     0     0 13526 5517 24 28 48  0  0
 5  0      0 6497680   5244 6218824    0    0     0     0 16253 7300 26 31 43  0  0
 0  0      0 6496456   5244 6218824    0    0     0     0 13689 4643 30 39 30  0  0
 4  0      0 6496432   5244 6218824    0    0     0     0 2410 1760  3  5 93  0  0
 2  0      0 6495732   5244 6218824    0    0     0     8 3254 2127  5  8 67 20  0
 6  0      0 6507992   5244 6218824    0    0     0    72 14713 2407 35 49 16  0  0
 1  0      0 6508732   5244 6218824    0    0     0     0 13811 2864 41 46 13  0  0
 6  0      0 6522508   5244 6218824    0    0     0     0 17406 2625 39 42 19  0  0
 0  0      0 6534156   5244 6218824    0    0     0     0 13381 2463 40 38 22  0  0
 0  0      0 6534272   5244 6218824    0    0     0     0 2076 2532  2  1 97  0  0
 0  0      0 6533884   5244 6218824    0    0     0     0 2116 2453  1  2 97  0  0
 0  0      0 6533616   5244 6218824    0    0     0     0 2639 3198  3  4 94  0  0
 0  0      0 6533464   5244 6218840    0    0     0     0 2097 2448  2  2 97  0  0
 0  0      0 6533484   5244 6218840    0    0     0     0 2368 2822  2  2 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 6534180   5244 6218856    0    0     0     0 2250 2602  2  1 96  0  0
 0  0      0 6533812   5244 6218872    0    0     0     0 2176 2686  2  3 95  0  0
 0  0      0 6533620   5244 6218888    0    0     0     0 2526 3181  2  2 95  0  0
 6  0      0 6521064   5244 6218888    0    0     0     0 4891 2752 12 12 76  0  0
 5  0      0 6513448   5244 6218920    0    0     0     0 23165 2113 34 44 22  0  0
 1  0      0 6456372   5244 6218920    0    0     0     0 19365 3225 40 41 19  0  0
 3  0      0 6423076   5244 6218936    0    0     0     0 14303 3473 38 37 25  0  0
 4  0      0 6444736   5244 6218952    0    0     0     0 13721 4775 38 37 24  0  0
 5  0      0 6441644   5244 6218952    0    0     0     0 10843 2726 39 43 18  0  0
 5  0      0 6462512   5244 6218952    0    0     0     0 14331 3749 32 32 36  0  0
 2  0      0 6462676   5244 6218968    0    0     0     4 8829 3170 22 25 53  0  0
10  0      0 6461160   5244 6218968    0    0     0     0 13375 2114 32 39 28  0  0
