procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 5980832   5244 6487940    0    0     0     5    2    9  1  1 99  0  0
 0  0      0 5980624   5244 6487944    0    0     0     0 1342 1971  1  1 98  0  0
 0  0      0 5980580   5244 6487944    0    0     0     0 1725 2532  1  1 98  0  0
 2  0      0 5981132   5244 6487944    0    0     0     0 6546 4508 10 11 80  0  0
 3  0      0 5982580   5244 6487944    0    0     0     0 11504 6614 16 17 67  0  0
 5  0      0 5983392   5244 6487944    0    0     0     0 15045 8481 22 24 54  0  0
 7  0      0 5982420   5244 6487944    0    0     0     0 14658 7805 26 26 48  0  0
 4  0      0 6012180   5244 6487944    0    0     0     0 15048 3734 37 46 17  0  0
12  0      0 6013616   5244 6487940    0    0     0     0 13963 2157 38 51 12  0  0
 2  0      0 6012304   5244 6487940    0    0     0     0 20153 5337 40 44 16  0  0
 4  0      0 6012764   5244 6487940    0    0     0     0 20092 8215 43 39 19  0  0
 8  0      0 5998624   5244 6487936    0    0     0     0 17591 5264 43 41 15  0  0
 5  0      0 5996600   5244 6487936    0    0     0     0 18504 4156 43 46 11  0  0
 6  0      0 6039404   5244 6487936    0    0     0     0 16414 2181 43 46 11  0  0
 0  0      0 6039048   5244 6487936    0    0     0     0 12341 3288 31 31 38  0  0
 0  0      0 6038632   5244 6487936    0    0     0     3 8556 3194 21 23 57  0  0
 8  0      0 6036028   5244 6487952    0    0     0     0 11439 2801 25 27 49  0  0
 4  0      0 6036404   5244 6487952    0    0     0     0 7702 2681 16 19 65  0  0
 7  0      0 6036744   5244 6487984    0    0     0     0 18407 2838 35 41 24  0  0
 4  0      0 6036888   5244 6488000    0    0     0     0 8529 3885 16 19 64  0  0
 2  0      0 6036460   5244 6488016    0    0     0     0 9375 2889 18 23 59  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 6037128   5244 6488032    0    0     0     0 10247 3107 19 23 58  0  0
 7  0      0 6036684   5244 6488048    0    0     0     0 11500 2844 18 24 59  0  0
 2  0      0 6058176   5244 6488064    0    0     0     0 18625 2162 38 40 22  0  0
14  0      0 6058512   5244 6488080    0    0     0     0 15232 2217 28 30 42  0  0
 2  0      0 6055892   5244 6488080    0    0     0     0 16107 3191 30 33 37  0  0
 0  0      0 6056928   5244 6488080    0    0     0     0 15321 3746 28 31 42  0  0
 4  0      0 6056652   5244 6488080    0    0     0     0 17794 3010 39 45 17  0  0
 1  0      0 6084276   5244 6488080    0    0     0     8 13205 3104 26 28 46  0  0
 2  0      0 6083796   5244 6488080    0    0     0     0 17262 3564 31 34 35  0  0
 5  0      0 6084532   5244 6488096    0    0     0     0 16748 2255 31 33 36  0  0
 4  0      0 6080744   5244 6488096    0    0     0     0 12765 3549 30 30 40  0  0
 2  0      0 6080416   5244 6488112    0    0     0     0 16591 3546 32 35 33  0  0
 1  0      0 6079936   5244 6488112    0    0     0     4 16179 3185 31 32 37  0  0
 7  0      0 6107840   5244 6488112    0    0     0     0 14832 3223 34 34 32  0  0
 0  0      0 6107880   5244 6488112    0    0     0     0 16087 3117 30 34 35  0  0
 0  0      0 6104428   5244 6488112    0    0     0     0 18523 2708 34 35 31  0  0
 7  0      0 6106432   5244 6488112    0    0     0     0 14323 3005 32 35 34  0  0
 3  0      0 6132692   5244 6488112    0    0     0     0 14992 2736 32 33 35  0  0
 0  0      0 6131972   5244 6488112    0    0     0     0 16577 3172 30 32 38  0  0
 7  0      0 6129596   5244 6488112    0    0     0     0 14401 3740 27 30 43  0  0
 7  0      0 6128660   5244 6488112    0    0     0     0 14801 3007 28 32 40  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0      0 6153284   5244 6488112    0    0     0     0 19022 3073 36 39 25  0  0
13  0      0 6153284   5244 6488112    0    0     0     0 16154 1355 35 36 29  0  0
 5  0      0 6149648   5244 6488116    0    0     0     0 10658 2928 24 24 52  0  0
 7  0      0 6150096   5244 6488116    0    0     0    31 22785 2515 41 46 13  0  0
 4  0      0 6170264   5244 6488116    0    0     0     0 17187 2302 43 42 15  0  0
 5  0      0 6166992   5244 6488116    0    0     0     0 13659 2108 37 37 26  0  0
 7  0      0 6167504   5244 6488116    0    0     0     0 11503 3536 30 30 40  0  0
 5  0      0 6188300   5244 6488116    0    0     0     0 16648 2735 41 43 16  0  0
 9  0      0 6185772   5244 6488116    0    0     0     0 13888 1868 39 46 15  0  0
 1  0      0 6185300   5244 6488116    0    0     0     0 23166 2293 44 47  8  0  0
 4  0      0 6204804   5244 6488116    0    0     0     0 15317 2036 39 41 20  0  0
 3  0      0 6201244   5244 6488116    0    0     0     0 16161 2240 44 44 11  0  0
 4  0      0 6217188   5244 6488116    0    0     0     0 15929 2420 45 44 11  0  0
 4  0      0 6190332   5244 6488116    0    0     0     0 15702 2352 43 42 15  0  0
11  0      0 6189836   5244 6488116    0    0     0     0 14353 1113 40 40 20  0  0
 7  0      0 6167116   5244 6488116    0    0     0     0 14319 1541 39 39 22  0  0
 7  0      0 6136096   5244 6488116    0    0     0     0 16111 1759 45 45 11  0  0
 4  2      0 6134456   5244 6488116    0    0     0     8 15124 2363 43 46  5  7  0
 6  0      0 6105760   5244 6488116    0    0     0     0 17418 1565 47 48  2  3  0
12  0      0 6067456   5244 6488116    0    0     0     0 14185 1654 42 41 17  0  0
 3  0      0 6065920   5244 6488116    0    0     0     0 13341 1677 37 38 26  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0      0 6027688   5244 6488116    0    0     0     0 16039 2544 43 42 15  0  0
 9  0      0 6027920   5244 6488116    0    0     0     8 8029 3040 18 19 62  0  0
 0  0      0 6028152   5244 6488116    0    0     0     0 7457 2465 19 21 60  0  0
 0  0      0 6027664   5244 6488116    0    0     0     0 10812 2140 22 26 52  0  0
 0  0      0 6029260   5244 6488116    0    0     0     0 6228 2242 11 13 76  0  0
 7  0      0 6062092   5244 6488116    0    0     0     0 21458 1693 40 45 14  0  0
 5  0      0 6062948   5244 6488116    0    0     0     0 19653 1778 46 47  7  0  0
