procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 7137400   5244 5962708    0    0     0     5    0    3  0  1 99  0  0
 0  0      0 7137136   5244 5962712    0    0     0     0 1463 2160  1  1 98  0  0
 5  0      0 7137436   5244 5962712    0    0     0     0 1337 2025  1  1 98  0  0
 0  0      0 7137360   5244 5962712    0    0     0     0 1299 1755  1  1 99  0  0
 0  0      0 7137432   5244 5962712    0    0     0     0 1401 2011  1  2 97  0  0
 0  0      0 7137380   5244 5962712    0    0     0     4 1208 1855  1  1 98  0  0
 0  0      0 7137104   5244 5962712    0    0     0     0 1486 2222  1  1 98  0  0
12  0      0 7084424   5244 5962712    0    0     0     0 21086 12201 25 29 46  0  0
44  0      0 7026268   5244 5962696    0    0     0     0 39919 18670 38 50 12  0  0
 5  0      0 7034664   5244 5962712    0    0     0     0 29999 19316 39 41 19  0  0
 9  0      0 7009980   5244 5962712    0    0     0     0 21776 16405 37 39 24  0  0
 1  0      0 6976068   5244 5962760    0    0     0     4 24665 15768 39 40 21  0  0
54  0      0 6918852   5244 5962776    0    0     0     0 33026 21310 45 47  8  0  0
17  0      0 6874992   5244 5962808    0    0     0     0 28464 20104 44 45 11  0  0
13  0      0 6836664   5244 5962840    0    0     0     3 24187 17503 41 48 11  0  0
 2  0      0 6794908   5244 5962916    0    0     0     0 26910 17320 43 47 10  0  0
39  0      0 6769368   5244 5962980    0    0     0     0 25290 17355 41 48 12  0  0
117  0      0 6740088   5244 5963068    0    0     0     0 34949 23085 46 48  6  0  0
 2  0      0 6697340   5244 5963148    0    0     0     0 30201 21839 46 48  6  0  0
 1  0      0 6654696   5244 5963168    0    0     0     0 30908 20823 44 44 12  0  0
44  0      0 6618832   5244 5963296    0    0     0     0 33618 22334 48 47  5  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
105  0      0 6592012   5244 5963304    0    0     0     0 34133 22605 49 47  4  0  0
 1  0      0 6573332   5244 5963348    0    0     0     0 36379 24285 47 49  4  0  0
