procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 6571808   5244 6129620    0    0     0     5    5    8  0  1 99  0  0
 0  0      0 6571424   5244 6129624    0    0     0     0 1679 2424  1  1 98  0  0
 1  0      0 6571228   5244 6129624    0    0     0     0 1309 1920  1  1 98  0  0
 0  0      0 6570972   5244 6129624    0    0     0     0 2802 2827  2  3 95  0  0
13  0      0 6567844   5244 6129620    0    0     0     0 17158 9739 15 28 56  0  0
 6  0      0 6565304   5244 6129620    0    0     0    20 18623 12277 17 31 53  0  0
 7  0      0 6561264   5244 6129620    0    0     0     0 21306 13810 20 38 42  0  0
45  0      0 6557852   5244 6129620    0    0     0     0 26024 14890 34 45 21  0  0
102  0      0 6555092   5244 6129620    0    0     0     3 16829 839959 32 51 16  0  0
 0  0      0 6554960   5244 6129620    0    0     0     0 16585 792362 29 48 23  0  0
96  0      0 6554624   5244 6129624    0    0     0     0 18478 863628 34 54 13  0  0
104  0      0 6552356   5244 6129652    0    0     0     0 27112 838161 35 57  8  0  0
14  0      0 6552256   5244 6129672    0    0     0     0 26349 664973 34 54 12  0  0
61  0      0 6551592   5244 6129700    0    0     0     0 25756 305018 36 60  4  0  0
 4  0      0 6550420   5244 6129724    0    0     0     0 19036 379032 30 51 19  0  0
38  0      0 6532800   5244 6129728    0    0     0     0 24229 639822 35 53 12  0  0
 0  0      0 6550792   5244 6129728    0    0     0     8 29497 42906 26 44 29  0  0
 0  0      0 6548800   5244 6129728    0    0     0     0 12902 9305 15 24 61  0  0
 0  0      0 6548736   5244 6129728    0    0     0     0 8159 5814 12 21 67  0  0
 0  0      0 6548648   5244 6129744    0    0     0     0 2283 2983  2  3 96  0  0
 0  0      0 6547932   5244 6129744    0    0     0     0 1564 1933  1  2 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 6547868   5244 6129764    0    0     0     0 1834 2330  1  2 96  0  0
 0  0      0 6548456   5244 6129780    0    0     0     0 1603 2018  1  1 97  0  0
 0  0      0 6549124   5244 6129804    0    0     0     0 1831 2411  1  2 97  0  0
 8  0      0 6548900   5244 6129808    0    0     0     0 2808 2996  3  6 91  0  0
30  0      0 6548148   5244 6129824    0    0     0     0 15684 7741 18 35 46  0  0
106  0      0 6548528   5244 6129828    0    0     0     0 25316 35138 30 63  7  0  0
72  0      0 6549172   5244 6129828    0    0     0     0 16105 9265 25 39 36  0  0
63  0      0 6544820   5244 6129868    0    0     0     0 33885 18471 33 54 13  0  0
35  0      0 6544420   5244 6129884    0    0     0     0 18441 12783 26 44 30  0  0
17  0      0 6544344   5244 6129884    0    0     0     0 20413 12364 21 36 43  0  0
 1  0      0 6543936   5244 6129904    0    0     0     4 19573 12567 19 31 51  0  0
 0  0      0 6543636   5244 6129904    0    0     0     0 11439 7397 10 17 73  0  0
35  0      0 6543632   5244 6129924    0    0     0     0 23462 22900 25 48 27  0  0
51  0      0 6544008   5244 6129932    0    0     0     0 21438 95013 24 41 35  0  0
87  0      0 6543684   5244 6129936    0    0     0     0 20519 13675 25 40 35  0  0
93  0      0 6544060   5244 6129936    0    0     0    20 19921 11821 18 31 51  0  0
15  0      0 6544032   5244 6129956    0    0     0     0 22296 27602 20 36 44  0  0
 0  0      0 6544708   5244 6129976    0    0     0    30 24298 180229 25 43 32  0  0
 0  0      0 6544824   5244 6129992    0    0     0     0 18846 11038 18 30 52  0  0
 0  0      0 6546364   5244 6129996    0    0     0     0 20468 11379 23 40 37  0  0
40  0      0 6546600   5244 6130000    0    0     0     0 20923 11082 18 32 50  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 6546912   5244 6130004    0    0     0     0 21916 140697 22 37 41  0  0
 2  0      0 6546080   5244 6130012    0    0     0     0 22185 12489 20 36 44  0  0
 0  0      0 6545748   5244 6130016    0    0     0     0 17191 11215 17 28 55  0  0
 1  0      0 6546064   5244 6130020    0    0     0     0 13570 8351 15 24 61  0  0
 0  0      0 6544652   5244 6130020    0    0     0     0 12099 6786 16 33 51  0  0
 0  0      0 6545096   5244 6130028    0    0     0     0 28458 163967 28 52 20  0  0
 5  0      0 6544412   5244 6130032    0    0     0     0 29593 19833 32 48 20  0  0
 0  0      0 6543908   5244 6130032    0    0     0     0 24755 16978 28 42 30  0  0
 3  0      0 6544072   5244 6130020    0    0     0     0 27137 18199 30 47 23  0  0
81  0      0 6543628   5244 6130016    0    0     0     0 26206 17916 30 45 26  0  0
39  0      0 6543900   5244 6129992    0    0     0     0 28863 20649 35 52 13  0  0
 1  0      0 6545252   5244 6129984    0    0     0     0 30266 21265 35 53 12  0  0
12  0      0 6543208   5244 6129984    0    0     0    76 27612 20403 32 45 23  0  0
 0  0      0 6542780   5244 6129980    0    0     0     0 25994 18603 28 44 28  0  0
89  0      0 6542904   5244 6129976    0    0     0     0 30626 213983 35 55 10  0  0
91  0      0 6542552   5244 6129972    0    0     0     0 19426 13712 22 37 41  0  0
59  0      0 6538684   5244 6129972    0    0     0     0 29447 19928 33 51 16  0  0
 0  0      0 6538620   5244 6129972    0    0     0     0 20697 162147 24 39 36  0  0
 2  0      0 6536540   5244 6129972    0    0     0     0 23591 150923 28 45 27  0  0
41  0      0 6536216   5244 6129972    0    0     0     0 19752 12904 24 38 38  0  0
28  0      0 6536828   5244 6129972    0    0     0     0 28164 19379 28 45 26  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
92  0      0 6536516   5244 6129976    0    0     0     0 25887 18346 29 43 28  0  0
49  0      0 6535908   5244 6129976    0    0     0     0 26596 18651 31 47 22  0  0
112  0      0 6535812   5244 6129984    0    0     0     0 23675 16226 28 44 28  0  0
