procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 5982752   5244 6487904    0    0     0     5    1    8  1  1 99  0  0
 0  0      0 5982256   5244 6487908    0    0     0     0 1301 1892  1  0 99  0  0
 0  2      0 5982256   5244 6487908    0    0     0     8 1322 2067  1  1 80 18  0
 0  2      0 5982600   5244 6487908    0    0     0     0 1831 2674  2  1 73 24  0
 0  0      0 5982544   5244 6487908    0    0     0     0 1205 1846  1  1 94  4  0
 1  0      0 5982560   5244 6487904    0    0     0     0 9929 6989 11 15 75  0  0
 2  0      0 5983224   5244 6487904    0    0     0     0 13672 9720 17 20 63  0  0
10  0      0 5979984   5244 6487904    0    0     0     0 16924 46769 23 26 50  0  0
 6  0      0 5979348   5244 6487904    0    0     0     0 18702 13276 26 30 44  0  0
17  0      0 5977764   5244 6487904    0    0     0     0 20398 52816 28 36 36  0  0
 5  0      0 5977120   5244 6487888    0    0     0     0 23786 22985 30 38 32  0  0
39  0      0 5972300   5244 6487872    0    0     0     0 25015 175690 33 44 23  0  0
 3  0      0 5970988   5244 6487872    0    0     0     0 27099 100815 34 42 25  0  0
48  0      0 5963132   5244 6487912    0    0     0     0 21048 568131 40 54  6  0  0
11  0      0 5961716   5244 6487912    0    0     0     0 28086 513840 42 54  4  0  0
72  0      0 5960600   5244 6487908    0    0     0     0 27693 38807 38 50 12  0  0
69  0      0 5959312   5244 6487912    0    0     0     0 22605 468110 41 53  6  0  0
70  0      0 5959788   5244 6487928    0    0     0     0 18553 1105310 44 55  2  0  0
80  0      0 5961036   5244 6487932    0    0     0     0 28272 445870 42 55  3  0  0
128  0      0 5960608   5244 6487932    0    0     0     0 22644 692698 43 52  5  0  0
29  0      0 5960844   5244 6487980    0    0     0     0 29035 208595 45 53  2  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
151  0      0 5960100   5244 6487988    0    0     0     0 21355 449026 44 53  3  0  0
142  0      0 5962596   5244 6488028    0    0     0     0 22867 211932 41 49 10  0  0
17  0      0 5961696   5244 6488060    0    0     0     0 25233 288387 42 55  3  0  0
21  0      0 5961900   5244 6488128    0    0     0     0 22045 330907 44 53  3  0  0
39  0      0 5961072   5244 6488132    0    0     0     0 23162 124485 45 53  2  0  0
122  0      0 5961180   5244 6488136    0    0     0    56 23021 255906 44 51  5  0  0
106  0      0 5960880   5244 6488144    0    0     0     0 21101 569755 45 53  2  0  0
 5  0      0 5959020   5244 6488140    0    0     0     0 22109 355332 44 54  2  0  0
117  0      0 5959272   5244 6488160    0    0     0     0 23162 70108 44 50  6  0  0
105  0      0 5959664   5244 6488160    0    0     0     0 21267 511033 45 53  3  0  0
58  0      0 5958692   5244 6488148    0    0     0     0 21685 463822 43 51  5  0  0
118  0      0 5959244   5244 6488148    0    0     0    24 22151 611487 43 54  4  0  0
46  0      0 5956020   5244 6488148    0    0     0     0 24084 36153 44 52  3  0  0
15  0      0 5951488   5244 6488148    0    0     0     0 20483 578072 44 51  5  0  0
154  0      0 5952164   5244 6488148    0    0     0     0 25121 20162 44 53  3  0  0
164  0      0 5952908   5244 6488152    0    0     0     0 19558 672357 44 53  3  0  0
