procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 7151124   5244 5962512    0    0     0     5   10    3  0  1 99  0  0
 0  0      0 7150628   5244 5962516    0    0     0     0 1818 2514  1  2 97  0  0
 0  0      0 7150340   5244 5962516    0    0     0     0 1412 2105  1  1 98  0  0
 0  0      0 7150084   5244 5962516    0    0     0     0 1228 1815  1  1 98  0  0
 0  0      0 7149792   5244 5962516    0    0     0     0 1490 2192  1  1 98  0  0
 0  0      0 7149672   5244 5962516    0    0     0     0 1276 1899  1  1 98  0  0
 4  0      0 7149572   5244 5962516    0    0     0     0 16703 7739 13 24 63  0  0
 6  0      0 7146096   5244 5962516    0    0     0     0 27934 6686 32 52 15  0  0
 7  0      0 7140368   5244 5962516    0    0     0     0 18958 3433 38 56  7  0  0
13  0      0 7133220   5244 5962612    0    0     0     0 15373 2942 40 53  7  0  0
 8  0      0 7130980   5244 5962644    0    0     0     0 18637 3673 42 52  5  0  0
 6  0      0 7131628   5244 5962696    0    0     0     0 22399 8412 36 53 11  0  0
 9  0      0 7130528   5244 5962752    0    0     0     0 19318 5790 41 52  7  0  0
 7  0      0 7129440   5244 5962776    0    0     0     0 17024 3596 42 54  4  0  0
16  0      0 7129420   5244 5962776    0    0     0     6 12687 2262 39 57  4  0  0
13  0      0 7130432   5244 5962796    0    0     0     0 20163 3407 41 55  4  0  0
 7  0      0 7129788   5244 5962828    0    0     0     0 16643 5007 39 56  5  0  0
25  0      0 7130316   5244 5962900    0    0     0     0 14230 3579 39 57  4  0  0
18  0      0 7130140   5244 5962964    0    0     0     0 19831 2828 39 57  4  0  0
27  0      0 7128716   5244 5962996    0    0     0     0 14192 2493 39 58  3  0  0
33  0      0 7127576   5244 5962996    0    0     0     0 7349 1767 32 62  6  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 9  0      0 7126552   5244 5963092    0    0     0    16 13611 2334 35 62  3  0  0
25  0      0 7124356   5244 5963100    0    0     0     0 14614 1570 34 64  2  0  0
13  0      0 7124788   5244 5963212    0    0     0     0 21665 3400 37 59  4  0  0
 8  0      0 7124032   5244 5963316    0    0     0     0 18236 3460 38 59  4  0  0
13  0      0 7122864   5244 5963316    0    0     0     0 16647 3340 36 57  7  0  0
15  0      0 7119132   5244 5963444    0    0     0     8 16978 3630 38 57  5  0  0
20  0      0 7118396   5244 5963444    0    0     0     0 15450 2167 37 59  3  0  0
10  0      0 7116456   5244 5963444    0    0     0     0 17615 4059 38 57  5  0  0
25  0      0 7116220   5244 5963496    0    0     0     0 15433 2030 38 56  6  0  0
23  0      0 7115872   5244 5963496    0    0     0     0 15823 3581 36 58  6  0  0
34  0      0 7114312   5244 5963496    0    0     0     4 18370 2447 39 58  4  0  0
19  0      0 7114360   5244 5963496    0    0     0     0 17401 2917 38 58  4  0  0
17  0      0 7113928   5244 5963496    0    0     0     0 16811 4233 37 59  4  0  0
17  0      0 7112824   5244 5963496    0    0     0     0 17956 2601 38 59  3  0  0
38  0      0 7112360   5244 5963512    0    0     0     0 16973 2436 39 58  3  0  0
41  0      0 7112224   5244 5963516    0    0     0     0 16720 3484 37 59  4  0  0
23  0      0 7111996   5244 5963516    0    0     0     0 15734 3114 38 58  3  0  0
16  0      0 7112696   5244 5963512    0    0     0     0 16637 2231 39 57  4  0  0
34  0      0 7112120   5244 5963512    0    0     0     0 15375 2672 38 58  4  0  0
11  0      0 7112256   5244 5963512    0    0     0     0 14337 2663 39 59  2  0  0
16  0      0 7111500   5244 5963512    0    0     0     0 16751 2313 40 59  2  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
22  0      0 7111972   5244 5963512    0    0     0     0 17537 2862 38 58  4  0  0
28  0      0 7111956   5244 5963512    0    0     0     0 17792 2856 38 60  3  0  0
30  0      0 7111696   5244 5963516    0    0     0    92 16085 2954 40 58  2  0  0
33  0      0 7114388   5244 5963516    0    0     0     0 17360 2706 39 57  4  0  0
19  0      0 7113844   5244 5963532    0    0     0     0 17702 3372 37 59  3  0  0
26  0      0 7114232   5244 5963532    0    0     0     0 18447 3574 39 58  3  0  0
16  0      0 7113768   5244 5963528    0    0     0     0 16940 2559 39 59  3  0  0
34  0      0 7112872   5244 5963528    0    0     0     0 18144 4290 38 58  5  0  0
20  0      0 7111476   5244 5963528    0    0     0     0 17330 2895 40 58  3  0  0
17  0      0 7110416   5244 5963528    0    0     0     0 17398 3637 39 57  4  0  0
24  0      0 7110844   5244 5963520    0    0     0    16 17700 3666 38 58  4  0  0
22  0      0 7110204   5244 5963516    0    0     0     0 18731 4558 38 57  5  0  0
13  0      0 7110212   5244 5963516    0    0     0     0 18157 3135 39 57  3  0  0
34  0      0 7109008   5244 5963516    0    0     0     0 17900 2589 40 58  2  0  0
16  0      0 7109236   5244 5963516    0    0     0     0 18359 3643 39 59  2  0  0
25  0      0 7108224   5244 5963512    0    0     0     4 15998 3595 37 58  4  0  0
12  0      0 7107932   5244 5963512    0    0     0     0 15710 2500 38 58  5  0  0
17  0      0 7108824   5244 5963528    0    0     0     0 18107 2965 40 57  3  0  0
62  0      0 7108304   5244 5963528    0    0     0     0 15536 2397 39 59  1  0  0
 5  0      0 7107648   5244 5963552    0    0     0     0 17306 3095 38 57  5  0  0
 7  0      0 7108204   5244 5963552    0    0     0     8 17159 3274 38 57  6  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
12  0      0 7107496   5244 5963552    0    0     0     0 17528 3334 38 55  6  0  0
17  0      0 7107860   5244 5963552    0    0     0     0 17405 2472 39 58  4  0  0
20  0      0 7101932   5244 5963552    0    0     0     0 16929 2708 39 57  3  0  0
20  0      0 7107316   5244 5963552    0    0     0     0 15569 2804 40 56  4  0  0
10  0      0 7106516   5244 5963552    0    0     0     0 16354 2312 36 59  5  0  0
53  0      0 7107356   5244 5963552    0    0     0     0 19044 3528 36 60  4  0  0
46  0      0 7106648   5244 5963552    0    0     0     0 17969 2758 36 60  4  0  0
25  0      0 7102704   5244 5963552    0    0     0     0 16419 2701 35 62  3  0  0
 8  0      0 7105300   5244 5963552    0    0     0     0 17186 3989 34 63  3  0  0
23  0      0 7105680   5244 5963552    0    0     0     0 18396 4335 35 62  3  0  0
11  0      0 7105352   5244 5963552    0    0     0     0 17675 3007 35 60  5  0  0
15  0      0 7105968   5244 5963552    0    0     0     2 17716 4452 35 59  6  0  0
 7  0      0 7107080   5244 5963552    0    0     0     0 17437 3851 36 58  7  0  0
34  0      0 7106380   5244 5963552    0    0     0     0 16350 3793 36 62  3  0  0
 7  0      0 7106604   5244 5963552    0    0     0     0 15189 2563 36 59  4  0  0
 8  0      0 7107024   5244 5963556    0    0     0     0 17637 2525 38 60  2  0  0
48  0      0 7106516   5244 5963568    0    0     0     0 16506 2172 38 59  3  0  0
12  0      0 7105160   5244 5963568    0    0     0     0 17224 4338 37 58  5  0  0
28  0      0 7104976   5244 5963568    0    0     0     0 17370 2519 37 59  4  0  0
21  0      0 7104988   5244 5963568    0    0     0    16 18308 3462 39 58  2  0  0
28  0      0 7104132   5244 5963564    0    0     0     0 16501 2478 36 59  5  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
42  0      0 7103404   5244 5963564    0    0     0     0 17281 2095 38 59  3  0  0
21  0      0 7103608   5244 5963564    0    0     0     0 17570 3560 39 58  3  0  0
 6  0      0 7102452   5244 5963560    0    0     0     0 17010 2967 38 57  5  0  0
17  0      0 7103076   5244 5963556    0    0     0     4 17286 3705 37 56  7  0  0
28  0      0 7101300   5244 5963560    0    0     0     0 15878 2673 39 58  3  0  0
15  0      0 7102564   5244 5963560    0    0     0     0 15120 2903 38 59  4  0  0
17  0      0 7093048   5244 5963560    0    0     0     0 17324 2680 38 58  5  0  0
 8  0      0 7102416   5244 5963592    0    0     0     0 15290 3011 37 58  6  0  0
11  0      0 7103012   5244 5963592    0    0     0     8 16687 2938 38 59  4  0  0
17  0      0 7103040   5244 5963592    0    0     0     0 16873 3124 38 59  3  0  0
30  0      0 7102700   5244 5963592    0    0     0     0 15916 2739 38 58  5  0  0
55  0      0 7102072   5244 5963592    0    0     0     0 16340 3147 39 58  3  0  0
30  0      0 7102148   5244 5963592    0    0     0     0 17432 3180 39 58  3  0  0
34  0      0 7102004   5244 5963576    0    0     0     0 16680 2147 38 60  2  0  0
 7  0      0 7101532   5244 5963576    0    0     0     0 18220 4337 39 57  4  0  0
45  0      0 7101816   5244 5963576    0    0     0     0 16779 3121 37 59  4  0  0
 6  0      0 7101944   5244 5963576    0    0     0     0 16422 2691 38 60  3  0  0
23  0      0 7101416   5244 5963576    0    0     0     0 17453 2732 38 59  3  0  0
 8  0      0 7101464   5244 5963576    0    0     0     0 17260 2946 39 58  3  0  0
31  0      0 7101216   5244 5963576    0    0     0     0 16812 2573 38 59  3  0  0
12  0      0 7102600   5244 5963584    0    0     0     3 16828 3465 37 59  4  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
22  0      0 7104156   5244 5963580    0    0     0     0 16697 4011 38 55  6  0  0
54  0      0 7103892   5244 5963580    0    0     0     0 17778 2674 39 58  3  0  0
43  0      0 7104976   5244 5963580    0    0     0     0 17688 2591 38 59  3  0  0
 6  0      0 7103264   5244 5963580    0    0     0     0 16386 3390 38 56  6  0  0
14  0      0 7103516   5244 5963580    0    0     0     0 17783 4173 36 58  6  0  0
36  0      0 7102072   5244 5963580    0    0     0     0 17504 2273 39 59  2  0  0
10  0      0 7102076   5244 5963580    0    0     0     7 17680 3254 38 58  4  0  0
30  0      0 7105304   5244 5963580    0    0     0     0 17476 4110 37 58  4  0  0
22  0      0 7104764   5244 5963580    0    0     0    16 17547 3639 38 59  4  0  0
45  0      0 7105380   5244 5963580    0    0     0     0 17540 3549 38 59  3  0  0
29  0      0 7103724   5244 5963580    0    0     0     0 16167 3044 38 58  4  0  0
32  0      0 7104244   5244 5963580    0    0     0     0 16707 1836 38 59  4  0  0
13  0      0 7104120   5244 5963580    0    0     0     0 17473 2152 39 58  2  0  0
13  0      0 7104436   5244 5963580    0    0     0     4 14108 2459 34 60  6  0  0
38  0      0 7104692   5244 5963576    0    0     0     0 16639 3669 37 59  4  0  0
17  0      0 7103916   5244 5963576    0    0     0     0 17233 3458 36 59  4  0  0
41  0      0 7103612   5244 5963576    0    0     0     0 17493 3010 38 58  4  0  0
31  0      0 7103676   5244 5963576    0    0     0     0 17770 3833 38 59  3  0  0
17  0      0 7104232   5244 5963576    0    0     0     4 17459 2920 39 58  3  0  0
26  0      0 7103860   5244 5963576    0    0     0     0 16912 3029 37 59  4  0  0
16  0      0 7103504   5244 5963576    0    0     0     0 17778 3513 38 58  4  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
14  0      0 7103312   5244 5963576    0    0     0     0 17948 4840 37 58  5  0  0
22  0      0 7104356   5244 5963568    0    0     0     0 17536 3213 39 58  3  0  0
25  0      0 7103948   5244 5963568    0    0     0     0 16526 2693 39 58  4  0  0
49  0      0 7103444   5244 5963568    0    0     0     0 16892 3614 39 58  4  0  0
29  0      0 7104060   5244 5963568    0    0     0     0 16983 2774 40 55  5  0  0
29  0      0 7104028   5244 5963568    0    0     0     0 15750 2849 41 57  3  0  0
13  0      0 7103916   5244 5963552    0    0     0     0 17169 2913 41 55  5  0  0
20  0      0 7105212   5244 5963488    0    0     0     0 17939 4419 40 55  5  0  0
16  0      0 7105208   5244 5963448    0    0     0     6 16735 3451 40 56  4  0  0
10  0      0 7106552   5244 5963424    0    0     0     0 16181 4046 39 55  6  0  0
13  0      0 7106960   5244 5963324    0    0     0     0 16955 4121 39 57  5  0  0
48  0      0 7107948   5244 5963276    0    0     0     0 16044 3744 39 54  7  0  0
20  0      0 7107848   5244 5963164    0    0     0     0 16008 3788 39 54  6  0  0
12  0      0 7108880   5244 5963056    0    0     0     0 17919 4360 38 54  8  0  0
13  0      0 7108744   5244 5963028    0    0     0     0 17618 6224 37 52 11  0  0
 5  0      0 7110252   5244 5962932    0    0     0     0 17684 7601 37 50 13  0  0
 8  0      0 7109192   5244 5962844    0    0     0     0 17499 7049 37 49 13  0  0
 0  2      0 7110892   5244 5962808    0    0     0    16 14840 8086 31 42 23  3  0
 3  0      0 7109676   5244 5962776    0    0     0     0 17833 9209 28 41 24  7  0
 0  0      0 7110088   5244 5962776    0    0     0     0 20448 15759 18 30 52  0  0
 0  0      0 7110088   5244 5962776    0    0     0     0 1218 1757  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 7109836   5244 5962776    0    0     0     0 1530 2309  1  1 98  0  0
 0  0      0 7110620   5244 5962776    0    0     0     0 1509 2257  1  1 98  0  0
 2  0      0 7110880   5244 5962776    0    0     0    80 2440 3509  2  2 96  0  0
 0  0      0 7110660   5244 5962776    0    0     0     0 1673 2314  1  2 97  0  0
 0  0      0 7110740   5244 5962776    0    0     0     0 1471 2235  1  1 98  0  0
 0  0      0 7110740   5244 5962776    0    0     0     0 1466 2166  1  1 98  0  0
 0  0      0 7110284   5244 5962776    0    0     0     0 1467 2119  1  1 98  0  0
 0  0      0 7110284   5244 5962776    0    0     0     8 1721 2376  2  1 97  0  0
 1  0      0 7109976   5244 5962776    0    0     0     0 2153 2969  2  2 96  0  0
 0  0      0 7109976   5244 5962772    0    0     0     0 1532 2186  1  1 98  0  0
 0  0      0 7109916   5244 5962772    0    0     0     0 1539 2233  1  1 98  0  0
 0  0      0 7109916   5244 5962772    0    0     0     0 1466 2125  1  1 98  0  0
 0  0      0 7109468   5244 5962772    0    0     0     0 2257 3265  2  2 96  0  0
 7  0      0 7109408   5244 5962772    0    0     0     0 1851 2510  1  2 96  0  0
 0  0      0 7109832   5244 5962772    0    0     0     0  943 1145  0  1 99  0  0
 0  0      0 7109944   5244 5962772    0    0     0     0 1469 2131  1  1 98  0  0
 0  0      0 7109824   5244 5962772    0    0     0     0 1411 2102  1  1 98  0  0
 0  0      0 7110160   5244 5962772    0    0     0    60 1508 2332  1  1 98  0  0
 0  0      0 7111412   5244 5962772    0    0     0     0 2056 2869  2  2 96  0  0
 0  0      0 7111436   5244 5962772    0    0     0     0 1421 2041  1  1 98  0  0
 0  0      0 7111856   5244 5962772    0    0     0     0 1669 2400  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 7111604   5244 5962772    0    0     0     0 1521 2151  1  1 98  0  0
 1  0      0 7111148   5244 5962772    0    0     0     0 1672 2438  1  1 98  0  0
 0  0      0 7110368   5244 5962772    0    0     0     0 1968 2824  2  2 97  0  0
 1  0      0 7110344   5244 5962772    0    0     0     0 1495 2149  1  1 98  0  0
 0  0      0 7110932   5244 5962772    0    0     0     0 1469 2195  1  1 98  0  0
 0  0      0 7110956   5244 5962772    0    0     0     0 1464 2121  1  1 98  0  0
 1  1      0 7110704   5244 5962772    0    0     0    16 1365 1968  1  1 88 10  0
 0  1      0 7110096   5244 5962772    0    0     0     0 2030 2950  1  2 73 24  0
 0  1      0 7110056   5244 5962772    0    0     0     0 1433 2048  1  1 73 25  0
 0  1      0 7111116   5244 5962772    0    0     0     0 1861 2401  2  2 72 24  0
 0  0      0 7111508   5244 5962772    0    0     0     0 1194 1760  1  1 86 13  0
 0  0      0 7111460   5244 5962776    0    0     0     4 1526 2245  1  1 98  0  0
 0  0      0 7110304   5244 5962776    0    0     0     0 1839 2691  1  2 97  0  0
 0  0      0 7110428   5244 5962776    0    0     0     0 1676 2405  1  1 98  0  0
 0  0      0 7110428   5244 5962776    0    0     0     0 1682 2368  1  1 98  0  0
 0  0      0 7109668   5244 5962776    0    0     0     0 1574 2286  1  1 98  0  0
 0  0      0 7110092   5244 5962768    0    0     0     0 1536 2246  2  1 98  0  0
 0  0      0 7109252   5244 5962768    0    0     0     0 1861 2708  1  2 97  0  0
 0  0      0 7109252   5244 5962768    0    0     0     0 1359 1985  1  1 98  0  0
 0  0      0 7108604   5244 5962768    0    0     0     0 1515 2152  1  1 98  0  0
 0  0      0 7108604   5244 5962768    0    0     0     0 1644 2284  2  1 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 7108096   5244 5962768    0    0     0     8 1652 2368  1  1 98  0  0
 0  0      0 7107884   5244 5962768    0    0     0     0 2024 2833  2  2 97  0  0
 0  0      0 7107664   5244 5962768    0    0     0     0 1460 2143  1  1 98  0  0
 1  0      0 7107036   5244 5962768    0    0     0     0 1393 2026  1  1 98  0  0
 0  0      0 7106868   5244 5962768    0    0     0     0 1343 2001  1  1 98  0  0
 3  0      0 7107592   5244 5962768    0    0     0     0 1265 1807  1  1 98  0  0
 0  0      0 7109384   5244 5962768    0    0     0    20 1678 2270  1  2 97  0  0
 0  0      0 7109296   5244 5962768    0    0     0     0 1292 1950  1  1 98  0  0
 0  0      0 7109576   5244 5962768    0    0     0     0 1429 2132  1  1 98  0  0
 0  0      0 7109128   5244 5962768    0    0     0     0 1300 1943  1  1 98  0  0
 0  0      0 7108680   5244 5962768    0    0     0     0 1700 2538  1  1 98  0  0
