procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  2      0 6272136   5244 6218800    0    0     0     5    8    5  1  1 99  0  0
 0  2      0 6271856   5244 6218804    0    0     0     6 1347 2058  1  1 49 49  0
 0  0      0 6271404   5244 6218804    0    0     0     0 1486 2032  1  1 70 28  0
 3  2      0 6271684   5244 6218804    0    0     0    16 2143 2658  2  2 93  4  0
 4  0      0 6271756   5244 6218804    0    0     0     0 17294 5910  6 17 63 14  0
 1  0      0 6271444   5244 6218804    0    0     0     0 15878 4868  6 24 71  0  0
 1  0      0 6270296   5244 6218804    0    0     0     0 15495 3556  8 27 66  0  0
10  0      0 6268876   5244 6218804    0    0     0     0 15322 3711  7 30 62  0  0
 4  0      0 6269232   5244 6218804    0    0     0    24 13632 3214  7 35 58  0  0
 2  0      0 6268764   5244 6218804    0    0     0     0 14330 3357  7 31 62  0  0
 2  0      0 6269348   5244 6218804    0    0     0     0 13546 3108  7 31 62  0  0
 2  0      0 6270376   5244 6218852    0    0     0     0 11705 2784  6 27 67  0  0
 1  0      0 6270652   5244 6218868    0    0     0     0 11860 2456  8 32 60  0  0
 1  0      0 6269272   5244 6218884    0    0     0    24 12253 3431  8 28 65  0  0
 1  0      0 6271120   5244 6218900    0    0     0     0 12001 2492  7 30 63  0  0
 1  0      0 6268916   5244 6218932    0    0     0     0 12648 2850  7 31 62  0  0
 0  0      0 6271340   5244 6218932    0    0     0     0 9356 2977  6 25 70  0  0
 1  0      0 6272728   5244 6218964    0    0     0     0 13370 2881  8 30 62  0  0
 1  0      0 6271384   5244 6218980    0    0     0    16 11129 2927  8 28 64  0  0
 2  0      0 6273084   5244 6218980    0    0     0     0 11159 2350  8 28 63  0  0
 2  0      0 6270960   5244 6218980    0    0     0     0 12826 2460  7 28 66  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 6270340   5244 6218980    0    0     0     0 11286 2545  6 27 67  0  0
 3  0      0 6271364   5244 6218980    0    0     0     0 13474 2494  8 32 61  0  0
 2  0      0 6269972   5244 6218980    0    0     0    24 11587 2724  7 27 65  0  0
 1  0      0 6269596   5244 6218980    0    0     0     0 13347 2014  7 35 58  0  0
 2  0      0 6270240   5244 6218980    0    0     0     0 10789 2489  8 29 63  0  0
 2  0      0 6269588   5244 6218980    0    0     0     0 7051 2125  5 20 76  0  0
 1  0      0 6269620   5244 6218980    0    0     0     0 11400 2094  7 34 59  0  0
 1  0      0 6269896   5244 6218980    0    0     0     0 13025 2573  7 27 66  0  0
 1  0      0 6268828   5244 6218980    0    0     0    16 12111 2493  8 28 65  0  0
 7  0      0 6268940   5244 6218980    0    0     0     0 11818 1542  7 29 65  0  0
 1  0      0 6271288   5244 6218980    0    0     0    77 10774 2077  7 27 67  0  0
 0  0      0 6270368   5244 6218980    0    0     0     0 5376 1770  4 11 86  0  0
 0  0      0 6270536   5244 6218980    0    0     0     0 2009 2645  3  3 95  0  0
 0  2      0 6270336   5244 6218980    0    0     0    16 1304 1942  1  1 56 42  0
 0  0      0 6270024   5244 6218980    0    0     0     0 2556 3966  1  1 73 24  0
 0  0      0 6269640   5244 6218980    0    0     0     0 1386 2063  1  1 98  0  0
 0  0      0 6269632   5244 6218980    0    0     0     0 1381 2195  1  1 98  0  0
