procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 6308084   5244 6487912    0    0     0     5    3   10  1  1 98  0  0
 0  0      0 6307868   5244 6487916    0    0     0     0 1622 2310  1  1 98  0  0
 0  0      0 6307784   5244 6487916    0    0     0     0 1323 1900  1  1 98  0  0
 3  0      0 6299720   5244 6487916    0    0     0     0 1971 2986  2  2 97  0  0
 0  0      0 6306992   5244 6487916    0    0     0     0 1438 2123  2  1 98  0  0
 0  0      0 6307000   5244 6487916    0    0     0     0 1637 2233  2  2 97  0  0
 0  0      0 6307080   5244 6487916    0    0     0     0 3268 2881  2  4 94  0  0
 0  0      0 6308304   5244 6487916    0    0     0     0 8436 4628  4 11 85  0  0
 3  0      0 6306788   5244 6487916    0    0     0     0 12435 6652  5 17 78  0  0
13  0      0 6309648   5244 6487916    0    0     0     0 13679 5933  5 19 75  0  0
 1  0      0 6309252   5244 6487916    0    0     0     0 15372 5592  6 22 71  0  0
 1  0      0 6306668   5244 6487916    0    0     0     0 17162 5522  9 28 64  0  0
 2  0      0 6306812   5244 6487916    0    0     0     0 17126 4156  8 30 62  0  0
 5  0      0 6308244   5244 6487916    0    0     0     0 16620 4857  8 32 59  0  0
 2  0      0 6306160   5244 6487916    0    0     0     0 15420 4738  8 29 63  0  0
 7  0      0 6310224   5244 6487916    0    0     0     0 12633 2621 10 31 59  0  0
 2  0      0 6310648   5244 6487916    0    0     0     0 13933 2633  9 31 61  0  0
 1  0      0 6310472   5244 6487932    0    0     0     0 13304 2435  8 31 60  0  0
 3  0      0 6305780   5244 6487948    0    0     0     0 11457 3206  9 31 60  0  0
 1  0      0 6309652   5244 6487980    0    0     0    32 12914 2548  7 28 65  0  0
 1  0      0 6309256   5244 6487996    0    0     0     0 18080 2345  8 33 60  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 6311248   5244 6487996    0    0     0     0 13797 2165  8 28 65  0  0
 1  0      0 6308912   5244 6488028    0    0     0     0 10528 2556  6 23 70  0  0
 5  0      0 6302076   5244 6488044    0    0     0     0 14648 3332  9 31 60  0  0
 2  0      0 6308644   5244 6488076    0    0     0     0 17292 3103  9 32 60  0  0
 0  0      0 6307664   5244 6488092    0    0     0     0 10032 2751  6 22 72  0  0
 0  0      0 6307000   5244 6488124    0    0     0     0 11185 2578  7 30 63  0  0
 2  0      0 6308728   5244 6488124    0    0     0     0 17699 1966  8 31 61  0  0
 4  0      0 6299392   5244 6488140    0    0     0     3 16227 3043  9 31 60  0  0
 2  0      0 6308556   5244 6488140    0    0     0     0 11450 2211  9 29 63  0  0
 6  0      0 6306868   5244 6488140    0    0     0     0 11288 1978  7 24 69  0  0
 1  0      0 6307632   5244 6488140    0    0     0     0 14549 1588  7 29 65  0  0
 9  0      0 6308736   5244 6488140    0    0     0     0 13758 2406  7 29 64  0  0
 6  0      0 6307716   5244 6488140    0    0     0     0 13591 3164  8 31 61  0  0
 5  0      0 6307068   5244 6488140    0    0     0     0 13778 2317  7 28 65  0  0
 1  0      0 6308668   5244 6488140    0    0     0     4 13030 2360  7 24 70  0  0
 1  0      0 6306612   5244 6488140    0    0     0     0 13854 2204  7 27 66  0  0
 1  0      0 6306836   5244 6488140    0    0     0     0 14321 2124  7 28 65  0  0
 1  0      0 6308012   5244 6488140    0    0     0     0 14136 3442  7 27 66  0  0
 2  0      0 6307448   5244 6488140    0    0     0     0 15503 2092  7 27 66  0  0
 1  0      0 6306752   5244 6488140    0    0     0     0 14163 2048  7 26 67  0  0
 3  0      0 6309096   5244 6488140    0    0     0     0 13470 2290  7 30 63  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 6306372   5244 6488140    0    0     0     0 13455 2342  8 28 64  0  0
 1  0      0 6306612   5244 6488140    0    0     0     0 14951 2768  8 28 64  0  0
 2  0      0 6308744   5244 6488144    0    0     0     0 12101 1759  7 29 64  0  0
 1  0      0 6309184   5244 6488144    0    0     0     0 14353 2133  8 27 65  0  0
 2  0      0 6309564   5244 6488144    0    0     0     0 15326 1778  7 28 64  0  0
 1  0      0 6309600   5244 6488144    0    0     0     0 10944 2169  6 25 69  0  0
 3  0      0 6308252   5244 6488144    0    0     0     0 13598 3647  7 25 69  0  0
 1  0      0 6308976   5244 6488144    0    0     0     0 14937 2425  8 27 65  0  0
 0  3      0 6310348   5244 6488144    0    0     0    20 6771 2280  4 13 55 28  0
 0  3      0 6309840   5244 6488144    0    0     0     0 1800 2582  1  2 49 48  0
 2  0      0 6307512   5244 6488144    0    0     0     0 15742 2310  5 25 61 10  0
 1  0      0 6306416   5244 6488144    0    0     0     0 18690 3332  8 32 60  0  0
 4  0      0 6307448   5244 6488144    0    0     0     0 17399 2170  8 33 59  0  0
 5  0      0 6306280   5244 6488144    0    0     0     0 11755 1338  8 33 60  0  0
 1  0      0 6306628   5244 6488144    0    0     0     0 11112 2053  7 28 64  0  0
 2  0      0 6308008   5244 6488144    0    0     0     0 11586 2228  8 28 64  0  0
 1  0      0 6306348   5244 6488144    0    0     0    31 15008 3094  9 31 60  0  0
 2  0      0 6307708   5244 6488144    0    0     0     0 13603 2458  7 26 67  0  0
 3  0      0 6307056   5244 6488144    0    0     0     0 12290 2334  7 24 70  0  0
 3  0      0 6306616   5244 6488144    0    0     0     0 16513 2176  8 32 61  0  0
 2  0      0 6307624   5244 6488144    0    0     0     0 14135 2204  7 26 67  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 6307092   5244 6488144    0    0     0     0 13540 3377  7 27 65  0  0
 3  0      0 6306076   5244 6488144    0    0     0     0 14103 2072  9 29 62  0  0
 2  0      0 6308720   5244 6488144    0    0     0     0 14113 2092  8 32 60  0  0
 0  0      0 6306576   5244 6488144    0    0     0     0 13539 2483  6 24 70  0  0
 3  0      0 6305516   5244 6488144    0    0     0     0 14886 1698  7 29 64  0  0
 3  0      0 6308484   5244 6488144    0    0     0     0 14003 3234  8 32 59  0  0
 0  0      0 6305856   5244 6488144    0    0     0     0 13764 2354  6 27 66  0  0
 1  0      0 6305140   5244 6488144    0    0     0     8 12434 2578  6 21 73  0  0
 0  0      0 6306660   5244 6488144    0    0     0     0 11041 2671  6 22 73  0  0
 3  0      0 6306072   5244 6488144    0    0     0     0 15591 2310  8 30 63  0  0
 2  0      0 6305872   5244 6488144    0    0     0     0 18037 3565  9 33 58  0  0
 1  0      0 6307276   5244 6488144    0    0     0     0 11134 2152  7 26 68  0  0
 2  0      0 6308464   5244 6488144    0    0     0     0 14644 2906 10 28 62  0  0
 2  0      0 6307912   5244 6488148    0    0     0     0 14257 2162  7 28 66  0  0
 1  0      0 6309260   5244 6488148    0    0     0     0 13236 1980  6 24 70  0  0
 7  0      0 6307928   5244 6488148    0    0     0     0 15585 2571  8 32 61  0  0
 1  0      0 6309484   5244 6488148    0    0     0     0 13019 1596  7 27 67  0  0
 2  0      0 6307724   5244 6488148    0    0     0     0 16148 2178  7 29 64  0  0
 0  0      0 6307496   5244 6488148    0    0     0    20 14260 2034  7 29 64  0  0
 1  0      0 6308304   5244 6488148    0    0     0     0 12577 2009  8 29 64  0  0
 2  0      0 6306088   5244 6488148    0    0     0     0 16350 3281  9 32 60  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 6306156   5244 6488148    0    0     0     0 14405 1955  6 29 65  0  0
 0  0      0 6307036   5244 6488148    0    0     0     0 15866 2134  7 29 64  0  0
 1  0      0 6305936   5244 6488148    0    0     0     0 11549 2271  7 33 60  0  0
 0  0      0 6307892   5244 6488148    0    0     0     0 12098 1951  7 26 68  0  0
 1  0      0 6304824   5244 6488148    0    0     0     3 13946 3441  9 27 64  0  0
 1  0      0 6306132   5244 6488152    0    0     0     0 16321 2379  7 29 63  0  0
 1  0      0 6307364   5244 6488152    0    0     0     0 10700 2101  8 26 67  0  0
 1  0      0 6305960   5244 6488152    0    0     0     0 15840 2135  7 32 61  0  0
 2  0      0 6305408   5244 6488152    0    0     0     0 14263 2406  7 25 69  0  0
 1  0      0 6307560   5244 6488152    0    0     0     0 14484 3334  8 28 65  0  0
 1  0      0 6306472   5244 6488152    0    0     0     0 12788 2281  7 29 64  0  0
 0  0      0 6307444   5244 6488152    0    0     0     0 16510 2265  8 27 65  0  0
 1  0      0 6306880   5244 6488152    0    0     0     0 11036 2065  7 26 67  0  0
 1  0      0 6306368   5244 6488152    0    0     0     0 14552 1972  7 29 65  0  0
 1  0      0 6308804   5244 6488152    0    0     0     0 14595 3482  8 28 64  0  0
 2  0      0 6306500   5244 6488152    0    0     0     0 15905 2108  7 32 62  0  0
 2  0      0 6306760   5244 6488152    0    0     0     0 14450 2206  8 27 65  0  0
 2  0      0 6308264   5244 6488152    0    0     0     8 14252 2087  7 29 64  0  0
 4  0      0 6305892   5244 6488152    0    0     0     0 16203 1665  8 30 62  0  0
 2  0      0 6306956   5244 6488152    0    0     0     0 12363 2775  7 29 64  0  0
 5  0      0 6306276   5244 6488152    0    0     0     0 15476 2131  7 29 64  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 6308492   5244 6488152    0    0     0     0 15693 2566  8 30 62  0  0
 1  0      0 6310068   5244 6488152    0    0     0     0 11597 2092  6 25 69  0  0
 1  0      0 6307924   5244 6488152    0    0     0     0 14957 1946  9 35 56  0  0
 3  0      0 6308068   5244 6488152    0    0     0     0 14935 2960  7 24 69  0  0
 2  0      0 6308256   5244 6488152    0    0     0     0 12409 2030  7 26 67  0  0
 1  0      0 6307616   5244 6488152    0    0     0     0 15446 2163  7 31 62  0  0
 1  0      0 6308976   5244 6488152    0    0     0    20 9623 2161  6 23 71  0  0
 2  0      0 6306764   5244 6488152    0    0     0     0 15736 2098  7 29 64  0  0
 1  0      0 6305596   5244 6488152    0    0     0     0 15110 3381  7 31 62  0  0
 1  0      0 6306824   5244 6488152    0    0     0     0 14867 2230  7 27 66  0  0
 1  0      0 6305316   5244 6488152    0    0     0     0 15009 1796  6 29 65  0  0
 2  0      0 6306684   5244 6488152    0    0     0     0 15506 2289  8 29 63  0  0
 1  0      0 6305160   5244 6488152    0    0     0     0 14032 2094  6 26 68  0  0
 1  0      0 6305040   5244 6488152    0    0     0     2 15124 3393  8 30 62  0  0
 2  0      0 6308352   5244 6488152    0    0     0     1 15431 1810  8 30 62  0  0
 3  0      0 6305908   5244 6488152    0    0     0     0 12805 2020  7 27 66  0  0
 1  0      0 6305592   5244 6488152    0    0     0     0 13497 2203  5 24 71  0  0
 0  0      0 6306808   5244 6488152    0    0     0     0 14634 2450  7 28 65  0  0
 1  0      0 6305616   5244 6488152    0    0     0     0 15481 3410  8 28 64  0  0
 1  0      0 6306084   5244 6488152    0    0     0     0 13895 2588  7 28 65  0  0
 1  0      0 6306164   5244 6488152    0    0     0     0 11619 2274  8 26 67  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 6305296   5244 6488152    0    0     0     0 12690 2332  7 25 68  0  0
 1  0      0 6307548   5244 6488152    0    0     0     0 16596 2052  7 27 67  0  0
 1  0      0 6305148   5244 6488152    0    0     0     0 13710 3630  8 27 66  0  0
 4  0      0 6304260   5244 6488152    0    0     0     0 13499 1685  7 26 67  0  0
 1  0      0 6306472   5244 6488148    0    0     0     0 10929 2018  7 26 67  0  0
 1  0      0 6304324   5244 6488148    0    0     0     0 12366 2901  5 20 75  0  0
 1  0      0 6305288   5244 6488148    0    0     0     4 16434 2639  8 31 61  0  0
 1  0      0 6307144   5244 6488152    0    0     0     0 14777 3395  8 28 64  0  0
 1  0      0 6305368   5244 6488152    0    0     0     0 15718 2420  8 30 63  0  0
 2  0      0 6307044   5244 6488152    0    0     0     0 16498 2732  9 31 59  0  0
 1  0      0 6308708   5244 6488152    0    0     0     0 12635 2569  8 30 63  0  0
 2  0      0 6308336   5244 6488152    0    0     0     0 12286 2440  8 29 63  0  0
