procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 6774648   5244 5962760    0    0     0     5    2    5  0  1 99  0  0
 0  0      0 6774088   5244 5962764    0    0     0     0 1526 2195  1  1 98  0  0
 0  0      0 6774396   5244 5962764    0    0     0     0 1823 2597  1  2 97  0  0
 0  0      0 6775124   5244 5962764    0    0     0     4 1739 2359  1  2 97  0  0
 0  0      0 6774900   5244 5962764    0    0     0     0 1207 1775  1  1 98  0  0
 2  0      0 6780440   5244 5962764    0    0     0     0 14027 2770  5 17 78  0  0
 1  0      0 6776832   5244 5962760    0    0     0     0 22799 3083  8 31 60  0  0
 2  0      0 6777272   5244 5962776    0    0     0     0 14480 3394 11 27 62  0  0
 1  0      0 6775624   5244 5962776    0    0     0     0 12143 2503 11 29 60  0  0
 2  0      0 6776012   5244 5962792    0    0     0     0 11970 2732 10 32 58  0  0
 7  0      0 6770768   5244 5962952    0    0     0     0 10867 2510 10 32 58  0  0
 1  0      0 6773992   5244 5962984    0    0     0     0 11003 2913  9 32 59  0  0
 2  0      0 6772752   5244 5963064    0    0     0     0 12775 3303 11 30 60  0  0
 2  0      0 6770428   5244 5963128    0    0     0     0 10465 3115 10 30 61  0  0
 4  0      0 6771296   5244 5963160    0    0     0     0 10409 2755 12 30 58  0  0
 2  0      0 6769200   5244 5963128    0    0     0     0 11828 2672 11 32 58  0  0
 2  0      0 6770572   5244 5963160    0    0     0     0 11260 2680 11 31 59  0  0
 6  0      0 6767344   5244 5963208    0    0     0     0 10594 2545 10 36 54  0  0
 1  0      0 6764552   5244 5963244    0    0     0     0 12705 3182 11 31 58  0  0
 3  0      0 6768268   5244 5963364    0    0     0     0 11851 3066 11 32 57  0  0
 1  0      0 6764072   5244 5963364    0    0     0     0 12544 2978 11 36 53  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 9  0      0 6760672   5244 5963364    0    0     0     0 8408 2636  9 36 55  0  0
 4  0      0 6760304   5244 5963396    0    0     0     0 7071 2682 11 42 46  0  0
 2  1      0 6761168   5244 5963452    0    0     0     0 12393 3212  9 35 55  0  0
 5  0      0 6759120   5244 5963532    0    0     0     0 11808 2895 10 35 55  0  0
 1  0      0 6759656   5244 5963532    0    0     0     0 11793 2988 10 36 54  0  0
 1  0      0 6757324   5244 5963532    0    0     0     0 10618 2696 10 35 55  0  0
 3  0      0 6758080   5244 5963532    0    0     0     0 11952 3185 11 35 55  0  0
 2  0      0 6756036   5244 5963532    0    0     0   133 12109 3186 11 36 52  0  0
 2  0      0 6756748   5244 5963532    0    0     0     4 11404 3015 10 37 53  0  0
 4  0      0 6758200   5244 5963532    0    0     0     0 12978 2917 10 35 55  0  0
 1  0      0 6756656   5244 5963532    0    0     0     0 12371 3141 10 39 51  0  0
 3  0      0 6754312   5244 5963536    0    0     0     0 10224 2814 10 38 51  0  0
 1  0      0 6755640   5244 5963536    0    0     0     0 11873 3122 11 40 49  0  0
 5  0      0 6756088   5244 5963536    0    0     0    20 11624 2955 10 32 58  0  0
 3  0      0 6756124   5244 5963536    0    0     0     0 10473 2850 10 42 47  0  0
 1  0      0 6757096   5244 5963556    0    0     0     0 11929 3042 10 32 57  0  0
 2  0      0 6756536   5244 5963556    0    0     0     0 11509 3439 11 37 52  0  0
15  0      0 6755104   5244 5963556    0    0     0     0 10234 2068  9 38 53  0  0
 1  0      0 6754712   5244 5963556    0    0     0     0 9492 2992 12 40 48  0  0
 4  0      0 6753864   5244 5963556    0    0     0     0 13109 3039 10 36 54  0  0
 1  0      0 6752992   5244 5963556    0    0     0     0 11581 3192 10 39 51  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 6753160   5244 5963556    0    0     0     0 10343 3543 11 38 52  0  0
 2  0      0 6755412   5244 5963604    0    0     0     0 11833 2932 10 35 55  0  0
 3  0      0 6754656   5244 5963608    0    0     0     0 11304 2648  9 33 58  0  0
 5  0      0 6756036   5244 5963624    0    0     0     0 11367 2727 10 38 52  0  0
 1  0      0 6755460   5244 5963624    0    0     0     0 11023 2756 10 35 55  0  0
 4  0      0 6754176   5244 5963628    0    0     0     0 11207 3353 11 37 53  0  0
 3  0      0 6754960   5244 5963628    0    0     0     0 11704 3079 10 40 51  0  0
 4  0      0 6756608   5244 5963636    0    0     0     0 11595 3343 10 42 48  0  0
 2  0      0 6757976   5244 5963636    0    0     0     0 10914 2658 10 34 56  0  0
 4  0      0 6759528   5244 5963556    0    0     0     0 13628 3350 10 35 56  0  0
 1  0      0 6758508   5244 5963556    0    0     0     0 12298 3500 11 37 52  0  0
 5  0      0 6758892   5244 5963556    0    0     0     0 11644 3347 11 37 52  0  0
 1  0      0 6758352   5244 5963556    0    0     0     0 11413 3020 10 45 45  0  0
 1  0      0 6758100   5244 5963556    0    0     0     0 12360 3382 10 38 53  0  0
 9  0      0 6755708   5244 5963556    0    0     0     0 11506 2963 11 35 54  0  0
 2  0      0 6756828   5244 5963556    0    0     0     0 13113 3279 10 36 54  0  0
