procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0      0 6274672   5244 6218880    0    0     0     5    9    5  1  1 99  0  0
 0  0      0 6274108   5244 6218884    0    0     0     0 1870 2695  1  1 97  0  0
 0  0      0 6273912   5244 6218884    0    0     0     0 1482 2216  1  1 98  0  0
 1  0      0 6273460   5244 6218884    0    0     0     0 5095 2877  4  6 90  0  0
 1  0      0 6270848   5244 6218868    0    0     0     0 11947 4297 10 17 73  0  0
 2  0      0 6271876   5244 6218868    0    0     0     0 12519 3292 12 20 68  0  0
 1  0      0 6272240   5244 6218868    0    0     0     0 12023 3112 12 21 67  0  0
 1  0      0 6275784   5244 6218868    0    0     0     0 10712 2233 11 19 70  0  0
 1  0      0 6276020   5244 6218868    0    0     0     0 10092 2537 11 22 66  0  0
 1  0      0 6276380   5244 6218868    0    0     0     0 11005 2362 13 23 64  0  0
 2  0      0 6276428   5244 6218868    0    0     0     0 10449 2282 13 26 61  0  0
 1  0      0 6276964   5244 6218868    0    0     0     0 12306 3170 15 25 61  0  0
 2  0      0 6272832   5244 6218868    0    0     0     8 10435 2432 13 23 64  0  0
 2  0      0 6275764   5244 6218868    0    0     0     0 9851 2443 12 20 68  0  0
 3  0      0 6272956   5244 6218868    0    0     0     0 13072 2380 14 23 63  0  0
 2  0      0 6273424   5244 6218884    0    0     0     0 10656 2443 14 22 64  0  0
 1  0      0 6272652   5244 6218884    0    0     0     0 11037 2464 15 26 59  0  0
 2  0      0 6272576   5244 6218916    0    0     0    19 9872 2818 12 19 69  0  0
 0  0      0 6269668   5244 6218916    0    0     0     0 11039 2440 13 24 63  0  0
 1  0      0 6270156   5244 6218948    0    0     0     0 10035 2614 13 21 67  0  0
 0  0      0 6270252   5244 6218948    0    0     0     0 4033 2504  4  5 91  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 6269928   5244 6218980    0    0     0     0 2662 3422  2  2 96  0  0
 0  0      0 6269888   5244 6218996    0    0     0     0 2317 2707  3  2 95  0  0
 0  0      0 6269944   5244 6219012    0    0     0     0 1962 2432  1  2 97  0  0
 0  0      0 6269892   5244 6219012    0    0     0     0 1401 2021  1  1 98  0  0
 3  0      0 6269848   5244 6219012    0    0     0     0  859 1245  0  1 99  0  0
 2  0      0 6265740   5244 6219012    0    0     0     0 10609 2578  8 21 72  0  0
 1  0      0 6261816   5244 6219012    0    0     0     0 14975 2222 12 23 64  0  0
 0  0      0 6257032   5244 6219012    0    0     0     0 9702 2268 13 19 67  0  0
 2  0      0 6252408   5244 6219012    0    0     0     0 10651 1638 13 23 64  0  0
 1  0      0 6250248   5244 6219028    0    0     0     0 11999 2069 12 26 62  0  0
 1  0      0 6252108   5244 6219032    0    0     0     0 10643 2658 13 21 65  0  0
 1  0      0 6248984   5244 6219032    0    0     0     4 9599 1844 12 21 67  0  0
 1  0      0 6248208   5244 6219032    0    0     0     0 12394 1985 14 26 60  0  0
 1  0      0 6248944   5244 6219032    0    0     0     0 10014 1984 13 23 63  0  0
 1  0      0 6251924   5244 6219032    0    0     0     0 10241 2012 14 21 65  0  0
 2  0      0 6251664   5244 6219032    0    0     0     0 11092 2612 14 25 61  0  0
 1  0      0 6250632   5244 6219032    0    0     0     0 8940 2048 12 19 70  0  0
 3  0      0 6250636   5244 6219032    0    0     0     0 9195 2161 12 21 67  0  0
 0  0      0 6256028   5244 6219032    0    0     0     0 10231 1842 13 21 67  0  0
 2  0      0 6255848   5244 6219032    0    0     0     0 11213 1774 13 26 61  0  0
 1  0      0 6249524   5244 6219032    0    0     0     0 10331 2218 13 20 68  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 6254284   5244 6219032    0    0     0     0 8728 2554 12 18 70  0  0
 1  0      0 6250428   5244 6219032    0    0     0     8 10727 2090 13 22 65  0  0
 1  0      0 6252964   5244 6219036    0    0     0     0 11719 2448 13 23 64  0  0
 0  0      0 6252904   5244 6219036    0    0     0     0 11296 2503 13 22 65  0  0
 5  0      0 6252748   5244 6219036    0    0     0     0 8547 2788 13 22 65  0  0
 1  0      0 6257484   5244 6219036    0    0     0    31 9449 2276 12 21 67  0  0
 6  0      0 6257000   5244 6219036    0    0     0     0 8569 1835 12 22 66  0  0
 1  0      0 6256828   5244 6219036    0    0     0     0 10162 1224 14 21 65  0  0
 5  0      0 6253892   5244 6219036    0    0     0     0 9008 2046 12 29 58  0  0
 1  0      0 6258328   5244 6219036    0    0     0     0 8873 2550 13 29 58  0  0
 1  0      0 6256684   5244 6219036    0    0     0     0 8682 2056 12 20 68  0  0
 2  0      0 6254304   5244 6219036    0    0     0     0 9748 1933 13 25 62  0  0
 1  0      0 6254144   5244 6219036    0    0     0     0 10707 2496 13 23 64  0  0
 2  0      0 6252444   5244 6219036    0    0     0     0 10471 1842 13 23 64  0  0
 2  0      0 6245008   5244 6219036    0    0     0     0 10948 2585 13 24 63  0  0
 1  0      0 6245880   5244 6219036    0    0     0     0 5089 2560  5 10 85  0  0
 2  0      0 6243824   5244 6219036    0    0     0     0 9439 2126 13 24 64  0  0
 1  0      0 6243500   5244 6219036    0    0     0     0 11255 1896 13 22 66  0  0
 1  0      0 6248164   5244 6219036    0    0     0     0 9816 2298 13 20 67  0  0
 0  0      0 6246536   5244 6219036    0    0     0     0 5161 2654  6 10 84  0  0
 1  0      0 6246864   5244 6219036    0    0     0     0 7460 1939  7 13 80  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 6246232   5244 6219036    0    0     0     8 13795 2280 13 23 64  0  0
 0  0      0 6251340   5244 6219036    0    0     0     0 7976 2253 10 16 74  0  0
 2  0      0 6251088   5244 6219036    0    0     0     0 7243 2073  9 15 76  0  0
 2  0      0 6252348   5244 6219036    0    0     0     0 9336 2459 13 22 65  0  0
 1  0      0 6250732   5244 6219036    0    0     0     0 7772 2041 10 20 70  0  0
 0  0      0 6255320   5244 6219036    0    0     0     0 9399 2260 13 18 69  0  0
 0  0      0 6255396   5244 6219036    0    0     0     0 7412 2003  9 17 74  0  0
 8  0      0 6259744   5244 6219036    0    0     0     0 6750 1707 12 20 68  0  0
 0  0      0 6260028   5244 6219036    0    0     0     0 2333 1712  3  6 91  0  0
 1  0      0 6260608   5244 6219036    0    0     0     0 1290 1852  1  1 98  0  0
 0  2      0 6260640   5244 6219036    0    0     0    12 2225 1816  2  3 88  7  0
 0  0      0 6260564   5244 6219036    0    0     0     0 1465 2112  2  2 72 24  0
 0  0      0 6260232   5244 6219036    0    0     0     0 1827 2162  3  4 93  0  0
 0  0      0 6260208   5244 6219036    0    0     0     0 1712 2327  2  2 96  0  0
 0  0      0 6260172   5244 6219036    0    0     0     3 1369 1980  1  1 97  0  0
 0  0      0 6260132   5244 6219036    0    0     0     0 1450 2038  1  2 97  0  0
 0  0      0 6260124   5244 6219036    0    0     0     0 1243 1878  1  1 98  0  0
 0  0      0 6259896   5244 6219036    0    0     0     0 1415 2049  1  3 96  0  0
