procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 6314536   5244 6487948    0    0     0     5    4   10  1  1 98  0  0
 0  0      0 6314212   5244 6487952    0    0     0     0 1533 2202  1  1 98  0  0
 0  0      0 6314068   5244 6487952    0    0     0     0 1327 1936  1  2 98  0  0
 0  0      0 6314096   5244 6487952    0    0     0     0 1602 2335  1  1 98  0  0
 1  0      0 6314724   5244 6487936    0    0     0     0 8911 4686  8 12 80  0  0
 1  0      0 6316676   5244 6487936    0    0     0     0 13572 3794 11 21 68  0  0
 1  0      0 6316100   5244 6487936    0    0     0    76 13638 3317 13 22 65  0  0
 1  0      0 6315648   5244 6487936    0    0     0     0 13383 3332 12 22 66  0  0
 2  0      0 6315948   5244 6487936    0    0     0     0 10270 2233 13 21 66  0  0
 1  0      0 6316588   5244 6487936    0    0     0     0 12852 2678 14 21 65  0  0
 1  0      0 6315380   5244 6487936    0    0     0    64 11988 2883 13 19 68  0  0
 1  0      0 6313500   5244 6487952    0    0     0     0 11343 2798 15 22 63  0  0
 2  0      0 6313404   5244 6487968    0    0     0     0 10782 2569 13 20 67  0  0
 1  0      0 6313068   5244 6487984    0    0     0     0 12103 2327 14 21 65  0  0
 1  0      0 6312120   5244 6488000    0    0     0     0 11643 2882 14 22 63  0  0
 1  0      0 6310700   5244 6488016    0    0     0     8 11266 2884 15 23 62  0  0
 1  0      0 6310960   5244 6488032    0    0     0     0 11099 2485 13 20 68  0  0
 7  0      0 6310168   5244 6488048    0    0     0     0 11163 2108 14 20 67  0  0
 1  0      0 6309540   5244 6488048    0    0     0     0 12310 1831 14 21 65  0  0
 2  0      0 6309124   5244 6488080    0    0     0     0 13298 2764 15 23 63  0  0
 1  0      0 6308832   5244 6488112    0    0     0     0 11847 3018 15 22 63  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 6308100   5244 6488112    0    0     0     0 9732 2562 14 17 68  0  0
 2  0      0 6307548   5244 6488112    0    0     0     0 13081 2509 15 24 61  0  0
 1  0      0 6308984   5244 6488128    0    0     0     0 10856 2488 14 22 64  0  0
 1  0      0 6308640   5244 6488128    0    0     0     0 10464 2893 14 23 63  0  0
 1  0      0 6310644   5244 6488128    0    0     0     0 11268 2494 14 19 67  0  0
 1  0      0 6310084   5244 6488128    0    0     0     0 10140 2045 14 20 67  0  0
 2  0      0 6312024   5244 6488128    0    0     0     0 9671 2074 13 19 68  0  0
 2  0      0 6310140   5244 6488128    0    0     0     0 12269 1667 15 21 64  0  0
 2  0      0 6309888   5244 6488132    0    0     0     0 10155 2383 14 20 66  0  0
 1  0      0 6309968   5244 6488132    0    0     0     0 10133 2113 15 19 67  0  0
 3  0      0 6309080   5244 6488132    0    0     0     0 11580 1815 14 21 65  0  0
 1  0      0 6308384   5244 6488132    0    0     0     0 8774 2268 14 23 63  0  0
 3  0      0 6304556   5244 6488132    0    0     0     0 10598 2104 14 20 66  0  0
 1  0      0 6297700   5244 6488136    0    0     0     0 10418 2643 14 20 66  0  0
 1  0      0 6289256   5244 6488136    0    0     0     4 10934 3257 15 23 62  0  0
 2  0      0 6282580   5244 6488136    0    0     0     0 10094 1895 14 21 65  0  0
 1  0      0 6281228   5244 6488136    0    0     0     0 10607 1992 12 22 66  0  0
 7  0      0 6274144   5244 6488136    0    0     0     0 10480 1019 12 20 67  0  0
 1  0      0 6268820   5244 6488136    0    0     0     0 11685 2620 13 25 62  0  0
 2  0      0 6264684   5244 6488136    0    0     0    47 11395 2629 14 22 64  0  0
 1  0      0 6265232   5244 6488136    0    0     0     0 8787 2092 13 22 65  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 6264880   5244 6488136    0    0     0     0 11776 2063 14 26 60  0  0
 1  0      0 6271828   5244 6488136    0    0     0     0 9929 1985 14 22 64  0  0
 1  0      0 6269868   5244 6488148    0    0     0     0 12067 2693 14 22 65  0  0
 2  0      0 6271992   5244 6488148    0    0     0     8 10900 2765 13 21 66  0  0
 0  0      0 6272564   5244 6488148    0    0     0     0 8957 2000 12 19 69  0  0
 0  0      0 6275500   5244 6488148    0    0     0     0 10071 2266 10 17 73  0  0
 1  0      0 6275500   5244 6488148    0    0     0     0 10184 1989 11 20 69  0  0
 1  0      0 6280164   5244 6488148    0    0     0     0 9850 2519 14 20 66  0  0
 1  0      0 6278296   5244 6488152    0    0     0     0 10173 2564 14 21 65  0  0
 1  0      0 6281584   5244 6488152    0    0     0     0 10867 1876 15 21 65  0  0
 1  0      0 6282764   5244 6488152    0    0     0     0 12052 2115 13 22 65  0  0
 1  0      0 6286500   5244 6488152    0    0     0     0 10480 2035 13 25 62  0  0
 1  0      0 6287676   5244 6488152    0    0     0     0 8785 2456 14 22 64  0  0
 2  0      0 6290348   5244 6488152    0    0     0     0 11631 2649 14 21 65  0  0
 2  0      0 6290924   5244 6488152    0    0     0     0 9184 2135 13 19 68  0  0
 1  0      0 6294020   5244 6488152    0    0     0     0 11085 1787 13 22 65  0  0
 2  0      0 6288932   5244 6488152    0    0     0     0 11619 1953 14 20 66  0  0
 9  0      0 6289048   5244 6488152    0    0     0     0 10718 1698 15 20 65  0  0
 3  0      0 6283504   5244 6488152    0    0     0     0 9999 2334 14 21 65  0  0
 1  0      0 6279900   5244 6488152    0    0     0     0 9765 1637 12 21 67  0  0
 3  0      0 6277936   5244 6488152    0    0     0     0 11886 1557 14 21 66  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 6278056   5244 6488152    0    0     0     0 11142 1686 13 23 64  0  0
 2  0      0 6282284   5244 6488152    0    0     0     0 11527 2440 14 21 64  0  0
 1  0      0 6284220   5244 6488152    0    0     0     0 10981 2317 14 21 64  0  0
 1  0      0 6288396   5244 6488152    0    0     0     8 10774 1806 14 22 64  0  0
