procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 6753320   5244 5962888    0    0     0     5    2    5  0  1 99  0  0
 0  0      0 6753272   5244 5962892    0    0     0     3 1199 1890  1  1 98  0  0
 0  0      0 6753720   5244 5962892    0    0     0     0 1686 2365  1  1 97  0  0
 0  0      0 6753492   5244 5962892    0    0     0     0 1652 2367  1  1 98  0  0
 1  0      0 6752368   5244 5962892    0    0     0     0 1737 2143  1  1 97  0  0
 2  0      0 6727148   5244 5962892    0    0     0     0 15990 2460 12 19 69  0  0
 2  0      0 6723688   5244 5962892    0    0     0     0 13975 2569 14 17 69  0  0
 1  0      0 6722840   5244 5962892    0    0     0     0 11079 2387 15 17 68  0  0
 2  0      0 6722572   5244 5962892    0    0     0     0 11682 3090 15 17 68  0  0
 2  0      0 6726380   5244 5962908    0    0     0     0 10664 2317 15 20 65  0  0
 2  0      0 6725628   5244 5962908    0    0     0     0 10466 2158 16 21 63  0  0
 2  1      0 6727136   5244 5962988    0    0     0     4 10426 2353 16 24 59  2  0
 2  0      0 6730584   5244 5963004    0    0     0     0 10387 2463 15 24 56  6  0
 1  0      0 6734260   5244 5963004    0    0     0     0 10015 2682 15 22 63  0  0
 1  0      0 6736072   5244 5963036    0    0     0     0 8717 2568 15 25 60  0  0
 7  0      0 6737660   5244 5963052    0    0     0     0 10468 2170 16 20 65  0  0
 2  0      0 6724444   5244 5963100    0    0     0     0 10214 1966 15 23 62  0  0
 1  0      0 6712668   5244 5963116    0    0     0     4 10443 2282 15 22 64  0  0
 1  0      0 6710580   5244 5963148    0    0     0     0 9902 3219 17 28 56  0  0
 2  0      0 6701828   5244 5963212    0    0     0     0 7500 2123 14 29 57  0  0
 1  0      0 6701724   5244 5963228    0    0     0     0 8899 2609 18 20 62  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
